Kansas City,Lawrence,Manhattan,Topeka,Wichita
S 50 Drive   66106,,,SE 33rd Terrace   66605,"East Park View Street, North   67219"
S 50 Terrace   66106,,,SE 34th Street   66605,"East Pkwy, South   67206"
S 50th Drive   66106,,,SE 34th Terrace   66605,East Street   67226
S 50th Street   66106,,,SE 35th Court   66605,Eastern Street   67207
S 50th Terrace   66106,,,SE 35th Street   66605,Eastmoor Street   67207
S 51 Court   66106,,,SE 35th Terrace   66605,"Eastmoor Street, South   67207"
S 51 Terrace   66106,,,SE 36th Street   66605,"Eastmoor Street, South   67210"
S 51st Court   66106,,,SE 36th Terrace   66605,Eastridge Street   67207
S 51st Street   66106,,,SE 37th Street   66605,"Eastwood Street, East   67218"
S 51st Terrace   66106,,,SE 37th Street   66609,"Eastwood, East   67218"
S 52 Court   66106,,,SE 37th Terrace   66609,"Eberly Court, West   67235"
S 52 Drive   66106,,,SE 38th Circle   66609,"Edgar, North   67203"
S 52 Terrace   66106,,,SE 38th Street   66609,Edgemont Street   67208
S 52nd Court   66106,,,SE 38th Terrace   66609,"Edgemoor Circle, North   67220"
S 52nd Drive   66106,,,SE 39th Street   66609,Edgemoor Court   67220
S 52nd Street   66106,,,SE 39th Terrace   66609,"Edgemoor Drive, North   67208"
S 52nd Terrace   66106,,,SE 3rd Street   66603,"Edgemoor Drive, North   67220"
S 53 Lane   66106,,,SE 3rd Street   66607,"Edgemoor Street, North   67208"
S 53 Terrace   66106,,,SE 40th Street   66609,"Edgemoor Street, North   67220"
S 53rd Lane   66106,,,SE 41st Street   66609,"Edgemoor Street, South   67218"
S 53rd Street   66106,,,SE 41st Terrace   66609,Edgewater Road   67230
S 53rd Terrace   66106,,,SE 42nd Court   66609,Edgewood   67230
S 54 Terrace   66106,,,SE 42nd Street   66605,Edgewood Circle   67206
S 54th Street   66106,,,SE 42nd Street   66609,Edgewood Drive   67206
S 54th Terrace   66106,,,SE 42nd Terrace   66609,Edinburg Circle   67220
S 55 Terrace   66106,,,SE 43rd Place   66609,Edinburg Street   67220
S 55th Street   66106,,,SE 43rd Street   66609,"Edminster Street, West   67212"
S 55th Street   66106,,,SE 43rd Terrace   66609,Edna Street   67212
S 55th Terrace   66106,,,SE 44 Terrace   66609,Edna Street   67213
S 56 Terrace   66106,,,SE 44th Street   66609,"Edward Court, North   67204"
S 56th Street   66106,,,SE 44th Terrace   66609,"Edwards Avenue, North   67203"
S 56th Terrace   66106,,,SE 45th Street   66609,"Edwards Court, North   67203"
S 57 Terrace   66106,,,SE 46th Court   66609,"Edwards Court, South   67213"
S 57th Street   66106,,,SE 46th Street   66609,"Edwards Street, North   67204"
S 57th Terrace   66106,,,SE 46th Terrace   66609,"Edwards Street, South   67213"
S 59 Lane   66111,,,SE 47th Street   66609,"Edwards Street, South   67217"
S 59th Lane   66111,,,SE 47th Street Terrace   66609,"Edwards, North   67203"
S 59th Street   66106,,,SE 48th Street   66609,"Egret Flight Court, East   67219"
S 5th Street   66101,,,SE 4th Street   66603,"Eilerts Avenue, East   67218"
S 5th Street   66103,,,SE 4th Street   66607,Eilerts Street   67218
S 5th Street   66105,,,SE 53rd Street   66609,"Eilerts, East   67218"
S 5th Street   66111,,,SE 55th Street   66609,"Eisenhower Avenue, South   67209"
S 5th Street   66111,,,SE 59th Street   66619,Eisenhower Court   67215
S 6 Terrace   66103,,,SE 5th Street   66603,"Eisenhower Court, South   67209"
S 60 Drive   66111,,,SE 5th Street   66607,"Eisenhower Court, South   67215"
S 60th Drive   66111,,,SE 6th Avenue   66603,"Eisenhower Street, South   67209"
S 62nd Street   66111,,,SE 6th Avenue   66607,"Eisenhower Street, South   67215"
S 63 Terrace   66106,,,SE 7th Street   66603,"Eisenhower, North   67205"
S 63rd Street   66106,,,SE 7th Street   66607,"Eisenhower, North   67212"
S 63rd Street   66111,,,SE 8th Avenue   66607,"el Monte Street, East   67216"
S 63rd Street   66111,,,SE 8th Street   66603,el Rancho Court   67216
S 63rd Terrace   66106,,,SE 8th Street   66607,"el Rancho Street, South   67216"
S 64 Terrace   66111,,,SE 8th Terrace   66607,"el Robelai Circle, West   67209"
S 64th Street   66111,,,SE 9th Street   66607,"el Standra Circle, West   67209"
S 64th Terrace   66111,,,SE 9th Street   66612,Elder   67212
S 65th Street   66106,,,SE A Island Circle   66605,"Elder Street, North   67212"
S 65th Street   66111,,,SE Adams Street   66605,"Elder Street, South   67209"
S 66 Terrace   66111,,,SE Adams Street   66607,"Eldora Street, South   67202"
S 66th Terrace   66111,,,SE Adams Street   66609,"Elizabeth Avenue, South   67217"
S 68th Street   66111,,,SE Alamar Road   66605,"Elizabeth Circle, South   67217"
S 69th Street   66106,,,SE Alexander Drive   66605,"Elizabeth Street, North   67203"
S 6th Street   66101,,,SE Alkire Street   66607,"Elizabeth, South   67213"
S 6th Street   66103,,,SE Allen Court   66605,Elk Run Court   67219
S 6th Street   66105,,,SE Allen Drive   66605,Ellen Street   67219
S 6th Street   66111,,,SE Aquarius Drive   66605,"Ellis Avenue, South   67216"
S 6th Terrace   66103,,,SE Arbor Court   66605,Ellis Street   67211
S 7 Terrace   66103,,,SE Arbor Drive   66605,Ellis Street   67216
S 70th Street   66111,,,SE Aries Avenue   66605,"Ellis Street, South   67216"
S 71 Place   66106,,,SE Arter Avenue   66607,"Ellson Court, North   67206"
S 71 Terrace   66111,,,SE Ashley Drive   66605,"Ellson Street, North   67206"
S 71st Place   66106,,,SE Aspen Court   66605,"Ellson Street, South   67207"
S 71st Street   66106,,,SE Baldwin Court   66605,"Ellsworth Street, South   67210"
S 71st Street   66111,,,SE Baldwin Road   66607,Elm Court   67206
S 71st Terrace   66111,,,SE Bates Road   66607,"Elm Court, East   67206"
S 72 Circle   66106,,,SE Beach Terrace   66605,"Elm Street, East   67206"
S 72 Drive   66106,,,SE Belhaze Court   66605,"Elm Street, East   67208"
S 72 Place   66106,,,SE Bellview Avenue   66605,"Elm Street, East   67214"
S 72 Terrace   66111,,,SE Bellview Avenue   66607,"Elm Street, West   67203"
S 72nd Circle   66106,,,SE Bennett Drive   66605,"Elm Street, West   67212"
S 72nd Drive   66106,,,SE Birch Street   66609,"Elm, East   67214"
S 72nd Place   66106,,,SE Blair Court   66605,Elmhurst Street   67216
S 72nd Street   66111,,,SE Blair Drive   66605,Elmwood Street   67218
S 72nd Street   66111,,,SE Brady Street   66607,"Elmwood Street, East   67207"
S 72nd Terrace   66111,,,SE Branner Street   66607,Elpyco Street   67210
S 73 Drive   66111,,,SE Brock Street   66607,Elpyco Street   67218
S 73 Place   66111,,,SE Brookside Drive   66607,"Emelia Street, South   67209"
S 73 Terrace   66106,,,SE Bryant Street   66605,"Emerald Bay Road, West   67205"
S 73 Terrace   66111,,,SE Bryant Street   66609,Emerson Street   67212
S 73rd Drive   66111,,,SE Buckeye Street   66605,"Emerson Street, North   67212"
S 73rd Place   66111,,,SE Burr Street   66605,"Emporia Avenue, North   67202"
S 73rd Street   66106,,,SE Burr Street   66607,"Emporia Avenue, North   67214"
S 73rd Street   66111,,,SE Burton Street   66605,"Emporia Avenue, South   67216"
S 73rd Terrace   66106,,,SE California Avenue   66605,"Emporia Circle, North   67214"
S 73rd Terrace   66111,,,SE California Avenue   66607,"Emporia Circle, South   67216"
S 74 Place   66111,,,SE California Avenue   66609,"Emporia Street, North   67202"
S 74 Terrace   66111,,,SE Capitol View Court   66605,"Emporia Street, North   67214"
S 74th Place   66111,,,SE Capricorn Avenue   66605,"Emporia Street, North   67219"
S 74th Street   66106,,,SE Carnahan Avenue   66605,"Emporia Street, South   67202"
S 74th Street   66111,,,SE Carnahan Avenue   66607,"Emporia Street, South   67211"
S 74th Terrace   66111,,,SE Carnahan Place   66607,"Emporia Street, South   67216"
S 75 Terrace   66111,,,SE Carnahan Street   66605,"Engles Court, West   67204"
S 75th Street   66111,,,SE Cedarwood Drive   66605,Englewood Street   67216
S 76 Terrace   66111,,,SE Chandler Street   66607,"Englewood Street, South   67216"
S 76th Street   66111,,,SE Chestnut Street   66607,English Avenue   67207
S 76th Terrace   66111,,,SE Colfax Place   66605,"English Street, East   67202"
S 77 Terrace   66111,,,SE Colfax Place   66609,"English Street, East   67211"
S 77th Terrace   66111,,,SE Colfax Street   66605,"English Street, East   67218"
S 78th Street   66106,,,SE Colonial Drive   66605,"English Street, West   67213"
S 78th Street   66106,,,SE Colorado Avenue   66605,Enoch Street   67207
S 78th Street   66111,,,SE Colorado Avenue   66607,"Enoch, South   67207"
S 79 Terrace   66111,,,SE Colorado Avenue   66609,"Ent Drive, East   67210"
S 79th Street   66106,,,SE Connie Drive   66605,"Equestrian Circle, East   67230"
S 79th Street   66111,,,SE Cottage Avenue   66607,"Equestrian Court, East   67230"
S 79th Terrace   66111,,,SE Cottonwood Street   66609,"Equestrian Street, East   67230"
S 7th Street   66101,,,SE Coyote Drive   66619,"Erie Avenue, North   67214"
S 7th Street   66103,,,SE Crestwater Drive   66605,"Erie Avenue, North   67219"
S 7th Street   66103,,,SE Croco Road   66605,"Erie Street, North   67214"
S 7th Street   66111,,,SE Croco Road   66607,"Erie Street, North   67219"
S 7th Street Approach   66103,,,SE Croco Road   66609,"Erie Street, South   67211"
S 7th Street Trfy   66101,,,SE Cross Street   66619,"Estate Court, North   67208"
S 7th Street Trfy   66103,,,SE Cunningham Street   66605,"Estelle Avenue, North   67219"
S 7th Street Trfy   66105,,,SE Cuvier Drive   66605,"Estelle Street, South   67211"
S 7th Terrace   66103,,,SE Davies Street   66605,"Estelle, North   67214"
S 8 Place   66103,,,SE Davies Street   66607,"Esthner Avenue, West   67213"
S 8 Terrace   66103,,,SE Deer Creek Trfy   66607,Esthner Circle   67209
S 80 Place   66111,,,SE Doane Street   66607,Esthner Court   67209
S 80 Terrace   66111,,,SE Downing Drive   66605,"Esthner Court, West   67213"
S 80th Place   66111,,,SE Downing Road   66605,Esthner Street   67209
S 80th Street   66111,,,SE Driftwood Court   66605,Esthner Street   67213
S 80th Terrace   66111,,,SE Dupont Place   66605,"Esthner Street, West   67209"
S 81st Street   66111,,,SE Dupont Street   66605,Ethel Street   67219
S 82nd Street   66111,,,SE East Edge Road   66605,Ethel Street   67220
S 85 Terrace   66111,,,SE East Edge Road   66609,"Ethel Street, East   67219"
S 85th Terrace   66111,,,SE Eastgate Drive   66607,Euclid Street   67213
S 86th Street   66111,,,SE Edison Avenue   66607,Euclid Street   67217
S 86th Street   66111,,,SE Elm Street   66607,Evans Street   67216
S 87th Street   66111,,,SE Emerson Street   66605,Evanston   67219
S 88th Street   66111,,,SE Evans Drive   66609,Evanston Circle   67219
S 89th Street   66111,,,SE Eveningtide Way   66605,"Evanston Drive, East   67219"
S 8th Place   66103,,,SE Fair Meadows Place   66605,"Evanston Drive, West   67204"
S 8th Street   66101,,,SE Fairfax Street   66607,"Evanston Street, East   67219"
S 8th Street   66103,,,SE Faxon Court   66605,Everett Street   67213
S 8th Street   66105,,,SE Faxon Drive   66605,Everett Street   67217
S 8th Street   66111,,,SE Flora Court   66605,"Everett Street, South   67213"
S 8th Terrace   66103,,,SE Fremont Street   66605,"Everett Street, South   67217"
S 9 Place   66103,,,SE Fremont Street   66609,Evergreen Court   67209
S 9 Terrace   66103,,,SE Gabler Street   66607,"Evergreen Lane, North   67212"
S 90th Street   66111,,,SE Garden Court   66605,"Evergreen Lane, South   67209"
S 94th Street   66111,,,SE Garden Park Court   66605,Exchange Street   67213
S 94th Street   66111,,,SE Gemini Avenue   66605,Exchange Street   67217
S 95th Street   66111,,,SE Gemini Court   66605,"Exchange Street, South   67217"
S 95th Street   66111,,,SE Gemstone Lane   66609,"Executive Way, North   67226"
S 96th Street   66111,,,SE Gilmore Avenue   66605,"Exposition Street, South   67213"
S 98th Street   66111,,,SE Gilmore Avenue   66607,"Exposition, North   67203"
S 9th Place   66103,,,SE Gilmore Court   66607,"Exposition, South   67217"
S 9th Street   66101,,,SE Gilmore Street   66605,"Fabrique Drive, South   67218"
S 9th Street   66103,,,SE Girard Street   66605,Fabrique Street   67218
S 9th Street   66105,,,SE Girard Street   66609,"Fabrique Street, South   67218"
S 9th Street   66105,,,SE Glenside Court   66605,Fager Street   67216
S 9th Street   66106,,,SE Golden Avenue   66605,"Fager Street, East   67216"
S 9th Street   66111,,,SE Golden Avenue   66607,Fairchild Drive   67210
S 9th Street   66111,,,SE Golf Park Boulevard   66605,Fairchild Street   67219
S 9th Terrace   66103,,,SE Grand Oaks Avenue   66609,Fairfield Road   67204
S Baltimore Street   66102,,,SE Granger Street   66605,"Fairfield, North   67208"
S Baltimore Street   66103,,,SE Gray Street   66607,"Fairhaven Avenue, East   67216"
S Baltimore Street   66105,,,SE Greenfield Court   66605,"Fairhaven Avenue, West   67217"
S Bethany Street   66102,,,SE Greenwood Court   66605,"Fairhaven Circle, East   67210"
S Bethany Street   66105,,,SE Hackberry Court   66605,Fairhaven Drive   67216
S Boeke Street   66101,,,SE Hackberry Drive   66605,"Fairhaven Drive, East   67216"
S Boeke Street   66103,,,SE Hackberry Drive   66607,"Fairhaven Road, South   67209"
S Boeke Street   66105,,,SE Hackberry Street   66607,"Fairland, South   67230"
S Cherokee Street   66103,,,SE Hancock Street   66607,"Fairlawn Street, South   67215"
S Coy Street   66101,,,SE Handcock Street   66607,Fairmount Street   67208
S Coy Street   66103,,,SE High Street   66607,Fairmount Street   67220
S Coy Street   66105,,,SE Highland Avenue   66605,Fairview Avenue   67204
S Early Drive   66103,,,SE Highland Avenue   66607,"Fairview Avenue, North   67203"
S Early Street   66103,,,SE Highland Avenue   66609,"Fairview Avenue, North   67204"
S Ewing Street   66118,,,SE Highland Court   66605,Fairview Street   67203
S Ferree Street   66101,,,SE Highland Court   66607,Fairview Street   67204
S Ferree Street   66103,,,SE Holiday Street   66607,Fairview Street   67214
S Ferree Street   66105,,,SE Howard Drive   66605,"Fairview Street, North   67204"
S Forest Avenue   66106,,,SE Howey Road   66609,"Fairview, North   67204"
S Grandview Boulevard   66102,,,SE Hudson Boulevard   66607,"Fairway Street, North   67212"
S Hallock Street   66101,,,SE Humboldt Street   66605,"Falcon Court, East   67220"
S Hill Street   66103,,,SE Humboldt Street   66609,Falcon Lane   67220
S Iowa Street   66103,,,SE Hummer Court   66605,"Falcon Street, East   67220"
S James Street   66118,,,SE Idaho Court   66609,Farmstead Court   67220
S Mill Street   66101,,,SE Illinois Avenue   66605,Farmstead Street   67208
S Mill Street   66103,,,SE Illinois Avenue   66607,"Farmstead Street, North   67208"
S Mill Street   66105,,,SE Illinois Avenue   66609,"Farmstead Street, North   67220"
S Mill Terrace   66103,,,SE Illinois Street   66605,"Farmview Court, East   67206"
S Minnie Street   66103,,,SE Illinois Street   66609,Farmview Lane   67206
S Pacific Street   66111,,,SE Indiana Avenue   66605,Farmview Lane   67208
S Packard Street   66105,,,SE Indiana Avenue   66607,"Farmview Lane, East   67206"
S Pyle Street   66101,,,SE Indiana Avenue   66609,"Farmview Lane, East   67208"
S Pyle Street   66103,,,SE Iowa Avenue   66605,"Faulders Lane, South   67218"
S Pyle Street   66105,,,SE Iowa Avenue   66607,Faulkner Street   67203
S Rockford Street   66106,,,SE Iowa Avenue   66609,"Fawn Grove Court, East   67207"
S Street Paul Street   66103,,,SE Irvingham Street   66605,"Fawn Grove Street, East   67207"
S Street Paul Street   66105,,,SE Island Circle   66605,Fawnwood   67235
S Thompson Street   66103,,,SE Jane Way   66607,"Fawnwood Court, South   67235"
S Tremont Street   66101,,,SE Jefferson Street   66605,"Fawnwood Drive, South   67235"
S Tremont Street   66103,,,SE Jefferson Street   66607,"Fawnwood Street, South   67235"
S Valley Street   66102,,,SE John Street   66605,Fees Street   67210
S Valley Street   66103,,,SE Kansas Place   66605,Fenner Street   67220
S Valley Street   66105,,,SE Kellam Avenue   66607,"Fern Circle, South   67217"
S Water Street   66118,,,SE Kellam Court   66607,"Fern Street, South   67213"
Sam Clark Lane   66109,,,SE Kenny Drive   66609,"Fern Street, South   67217"
Sandusky   66102,,,SE Kentucky Avenue   66605,"Fern, North   67203"
Sandusky Avenue   66101,,,SE Kentucky Court   66609,"Fernwood Street, East   67216"
Sandusky Avenue   66102,,,SE Keystone Avenue   66605,"Fernwood Street, West   67217"
Sandusky Avenue   66112,,,SE Klein Street   66607,Ferrell   67203
Sanford Avenue   66101,,,SE Kouns Street   66607,Ferrell Drive   67203
Savage Drive   66109,,,SE Lafayette Place   66607,Ferrell Street   67203
Scott Avenue   66105,,,SE Lafayette Street   66607,Fieldcrest Circle   67215
Sears Drive   66102,,,SE Lake Court   66609,"Fieldcrest Circle, North   67212"
Seminary Street   66103,,,SE Lake Drive   66619,"Fieldcrest Circle, South   67209"
Seneca Avenue   66103,,,SE Lake Street   66607,Fieldcrest Court   67209
Seward Street   66109,,,SE Lake Terrace   66605,"Fieldcrest Court, North   67212"
Sewell Avenue   66104,,,SE Lakeridge Court   66605,"Fieldcrest Court, South   67209"
Sewell Avenue   66109,,,SE Lakewood Boulevard   66605,"Fieldcrest Street, North   67212"
Shawnee Avenue   66105,,,SE Lakewood Boulevard   66607,"Fieldcrest Street, South   67209"
Shawnee Avenue   66111,,,SE Lakewood Court   66609,Figg Street   67213
Shawnee Drive   66106,,,SE Lakewood Place   66609,"Figg, West   67213"
Shawnee Road   66103,,,SE Lakewood Street   66609,"Firefly Circle, North   67235"
Shearer Avenue   66106,,,SE Lamar Street   66607,Firefly Court   67235
Shearer Road   66103,,,SE Lawrence Street   66607,Firefly Street   67235
Shearer Road   66106,,,SE Leland Street   66607,"Firefly Street, North   67235"
Shearer Road   66111,,,SE Leo Avenue   66605,Fivewood   67235
Shelton Avenue   66111,,,SE Liberty Street   66607,Fivewood Court   67235
Sherman Street   66101,,,SE Libra Avenue   66605,"Fivewood Court, South   67235"
Short Avenue   66104,,,SE Libra Court   66605,Fivewood Street   67235
Short Street   66104,,,SE Lime Street   66607,Flagstaff Street   67220
Silver Avenue   66103,,,SE Locust Street   66607,"Flat Creek Court, North   67205"
Silver Avenue   66106,,,SE Long Street   66605,"Flat Creek Street, North   67205"
Silver Court   66106,,,SE Long Street   66607,"Flatcreek Court, North   67205"
Simpson Avenue   66101,,,SE Long Street   66609,Floberta Street   67208
Sloan Avenue   66104,,,SE Lott Street   66605,"Flora Street, North   67212"
Sloan Avenue   66109,,,SE Madison Street   66605,"Flora Street, South   67209"
Sloan Drive   66104,,,SE Madison Street   66607,"Flora, South   67215"
Sortor Drive   66104,,,SE Mareta Circle   66605,"Florence Court, South   67209"
Sortor Drive   66109,,,SE Market Street   66605,"Florence Street, North   67212"
Sortor Street   66109,,,SE Market Street   66607,"Florence Street, South   67209"
Southwest Boulevard   66103,,,SE Mars Terrace   66605,"Floyd Street, North   67212"
Speaker Road   66106,,,SE Maryland Avenue   66605,"Floyd Street, South   67209"
Speaker Road   66111,,,SE Maryland Avenue   66607,Flutter Lane   67228
Speedway Boulevard   66111,,,SE Maryland Avenue   66609,Flynn Street   67207
Splitlog Avenue   66101,,,SE Maryland Court   66609,Foilage Cove   67206
Splitlog Avenue   66102,,,SE Massachusetts Avenue   66605,"Foliage Court, North   67206"
Splitlog Avenue   66112,,,SE Massachusetts Avenue   66607,Foliage Cove   67206
Splitlog Circle   66112,,,SE Massachusetts Court   66609,"Foliage Cove Court, North   67206"
Spring Avenue   66104,,,SE Meadowview Drive   66605,"Foliage Drive, North   67206"
Spring Avenue   66109,,,SE Mercier Street   66609,"Fontana Circle, West   67205"
Spring Field Street   66103,,,SE Mercury Avenue   66605,"Fontana Court, West   67205"
Springfield Boulevard   66101,,,SE Mercury Court   66605,"Forest Lake Court, North   67205"
Springfield Street   66103,,,SE Michigan Avenue   66605,"Forest Lakes Court, North   67205"
Springhorn Lane   66103,,,SE Michigan Avenue   66607,"Forest Lakes Street, North   67205"
St Paul Street   66103,,,SE Michigan Avenue   66609,"Forest Park Court, West   67205"
Stallion Road   66115,,,SE Michigan Street   66605,Forest Ridge   67205
Stanley Road   66115,,,SE Michigan Street   66609,Forest Ridge Court   67205
State Avenue   66101,,,SE Minnesota Avenue   66605,"Forest Ridge Court, North   67205"
State Avenue   66102,,,SE Minnesota Avenue   66609,"Forest Ridge Street, North   67205"
State Avenue   66109,,,SE Monroe Street   66603,Forest Street   67203
State Avenue   66111,,,SE Monroe Street   66605,"Forest View Street, North   67223"
State Avenue   66112,,,SE Monroe Street   66612,Forestgate Circle   67206
State Avenue Lp   66112,,,SE Moorefield Court   66607,Forestor   67219
State Highway 132   66102,,,SE Morrison Street   66605,"Forestor Drive, North   67219"
State Highway 32   66105,,,SE Mulberry Street   66609,Forestview   67235
State Highway 32   66106,,,SE Naples Street   66612,Forestview Court   67235
State Highway 32   66111,,,SE Norwood Street   66607,"Forestview Court, North   67235"
State Highway 5   66104,,,SE Oak Court   66609,"Forestview Court, South   67235"
State Highway 5   66109,,,SE Oakridge Lane   66609,"Forestview Street, North   67223"
State Highway 5   66115,,,SE Oakview Court   66609,"Forestview Street, North   67235"
State Highway 58   66105,,,SE Oakview Lane   66609,"Forestview Street, South   67235"
State Highway 58   66106,,,SE Oakwood Circle   66605,"Fortuna Street, East   67216"
State Highway 7   66109,,,SE Oakwood Court   66609,"Fortuna, West   67215"
State Line Road   66103,,,SE Oakwood Drive   66605,"Fossil Rim Street, North   67205"
Steele Road   66103,,,SE Oakwood Drive   66609,Foster Street   67206
Steele Road   66106,,,SE Oakwood Street   66609,"Foster Street, East   67206"
Steele Road   66111,,,SE Ohio Avenue   66605,Foulois Court   67210
Stewart Avenue   66101,,,SE Ohio Avenue   66607,Foulois Drive   67210
Stewart Avenue   66104,,,SE Ohio Court   66609,"Fountain Avenue, North   67220"
Stewart Place   66109,,,SE Overton Street   66607,Fountain Street   67208
Stewart Place   66112,,,SE Park Lane Court   66605,"Fountain Street, North   67220"
Stine Avenue   66103,,,SE Paulen Road   66605,"Fountain Street, South   67218"
Stine Lane   66103,,,SE Paulen Road   66609,"Fountain, North   67208"
Stinson Avenue   66103,,,SE Peace Court   66605,"Four Oaks Street, East   67226"
Stover Lane   66109,,,SE Peck Court   66605,"Fox Point Court, North   67226"
"Street Paul Street, South   66103",,,SE Peck Road   66605,"Fox Pointe Circle, North   67226"
"Street Paul Street, South   66105",,,SE Pennsylvania Avenue   66605,"Fox Run Circle, North   67226"
Strong Avenue   66106,,,SE Pennsylvania Avenue   66607,"Fox Run Circle, South   67207"
Summer Street   66111,,,SE Pennsylvania Avenue   66609,"Fox Run Court, North   67226"
Summit Place   66102,,,SE Pennsylvania Court   66609,"Fox Run Street, North   67226"
Summit Street   66103,,,SE Piedmont Court   66605,"Fox Run Street, South   67207"
Summitcrest Drive   66101,,,SE Pinecrest Circle   66605,"Foxchase Street, West   67212"
Sumner Avenue   66101,,,SE Pinecrest Court   66605,Franklin Street   67203
Sumner Avenue   66102,,,SE Pinecrest Drive   66605,Franklin Street   67212
Sunshine Road   66115,,,SE Pisces Avenue   66605,"Franklin Street, West   67212"
Suntree Place   66103,,,SE Placid Court   66605,Frazier Street   67212
Suntree Plaza   66103,,,SE Powell Avenue   66607,"Frazier Street, West   67212"
Sutton Avenue   66106,,,SE Powell Court   66609,"Frederic Street, North   67206"
Sutton Court   66103,,,SE Powell Street   66605,Freedom Road   67230
Sutton Court   66106,,,SE Powell Street   66607,"Freedom Road Court, North   67230"
Sutton Lane   66106,,,SE Promise Street   66609,Freeman Street   67212
SW 13th Street   66115,,,SE Quincy Court   66605,Friar Lane   67204
Swartz Avenue   66111,,,SE Quincy Street   66603,"Friar Lane, North   67204"
Swartz Road   66106,,,SE Quincy Street   66605,Fritillary   67226
Swartz Road   66111,,,SE Quincy Street   66607,"Fritillary Circle, North   67226"
Tantine Road   66109,,,SE Quincy Street   66612,Fritillary Court   67226
Tauromee Avenue   66101,,,SE Reed Street   66607,"Fritillary Court, North   67226"
Tauromee Avenue   66102,,,SE Republican Avenue   66607,"Fritillary Street, North   67226"
Tauromee Avenue   66112,,,SE Rice Road   66607,Frontenac   67219
Taylor Avenue   66105,,,SE Ridgeview Drive   66609,Frontenac Street   67219
Tenny Avenue   66101,,,SE Ridgeview Terrace   66609,Fultz Street   67217
Tenny Avenue   66102,,,SE Rodgers Street   66607,Funston   67207
Tennyson Street   66102,,,SE Sage Street   66605,"Funston Circle, East   67207"
Tennyson Street   66104,,,SE Sagis Court   66605,Funston Court   67207
Terrace Trl W   66106,,,SE Saturn Drive   66605,"Funston Court, East   67207"
"Thompson Street, North   66101",,,SE Scorpio Avenue   66605,"Funston Street, East   67207"
"Thompson Street, South   66103",,,SE Scorpio Drive   66605,"Funston Street, East   67211"
Thorn Drive   66106,,,SE Shawnee Court   66605,"Funston Street, East   67218"
"Thorp Street, North   66102",,,SE Shawnee Drive   66605,"Funston Street, West   67213"
Tontine Road   66109,,,SE Shawnee Terrace   66609,Gainsville Drive   67219
"Townsend Court, East   66109",,,SE Sherman Avenue   66607,Galena Street   67216
"Townsend Court, West   66109",,,SE Shiloh Court   66605,Galoway Street   67212
Trant Street   66111,,,SE Shoreline Drive   66605,"Garden Court, West   67217"
Tremont Street   66103,,,SE Shorewood Court   66605,"Garden Ridge Circle, West   67205"
"Tremont Street, North   66101",,,SE Shorewood Drive   66605,"Garden Ridge Court, West   67205"
"Tremont Street, South   66101",,,SE Skylark Court   66605,"Garden Ridge Street, West   67205"
"Tremont Street, South   66103",,,SE Skylark Drive   66605,Gardner Street   67208
Troup Avenue   66101,,,SE Skyview Court   66605,"Garland Circle, North   67204"
Troup Avenue   66102,,,SE South Village Pkwy   66609,Garland Street   67203
Troup Avenue   66104,,,SE Spruce Court   66605,Garland Street   67204
Troup Avenue   66112,,,SE Starlite Drive   66605,Garnett Street   67206
Troup Court   66112,,,SE Stone Creek Road   66609,"Garnett Street, North   67206"
Turner Diagonal Fwy   66102,,,SE Strait Avenue   66607,Garst Street   67209
Turner Diagonal Fwy   66106,,,SE Swygart Street   66605,"Gary Drive, East   67219"
Turner Diagonal Highway   66106,,,SE Swygart Street   66607,Gateway Circle   67230
Turner Drive   66111,,,SE Taurus Avenue   66605,Gateway Court   67230
Turner Road   66106,,,SE Taurus Court   66605,Gateway Drive   67230
US Highway 169   66101,,,SE Tefft Street   66607,Gateway Street   67230
US Highway 169   66103,,,SE Texas Street   66605,Gatewood   67206
US Highway 169   66105,,,SE Tidewater Drive   66605,Gatewood   67210
US Highway 69   66101,,,SE Tomahawk Court   66605,Gatewood Court   67206
US Highway 69   66105,,,SE Tomahawk Court   66609,"Gatewood Street, North   67206"
US Highway 69   66106,,,SE Tomahawk Trail   66605,"Gatewood Street, South   67210"
US Highway 69   66115,,,SE Tomahawk Trail   66609,"Genova Street, East   67206"
US Highway 73   66109,,,SE Travis Circle   66605,"Gentry Street, North   67208"
Vail   66103,,,SE Truman Avenue   66609,"Gentry Street, North   67220"
Vale Street   66103,,,SE Truman Court   66605,"Geo Wash Drive, South   67218"
Valley Road   66102,,,SE Turnpike Avenue   66605,George Drive   67210
"Valley Street, North   66102",,,SE Va Court   66609,"George Washington Boulevard, South   67210"
"Valley Street, North   66104",,,SE Vanburen Place   66611,"George Washington Boulevard, South   67211"
"Valley Street, South   66102",,,SE Vine Street   66607,"George Washington Boulevard, South   67218"
"Valley Street, South   66103",,,SE Virginia Avenue   66605,"George Washington Court, South   67218"
"Valley Street, South   66105",,,SE Virginia Court   66609,George Washington Drive   67211
Valleyview Road   66111,,,SE Virgo Avenue   66605,George Washington Drive   67218
Verde Drive   66104,,,SE Walnut Drive   66605,"George Washington Drive, South   67211"
Verde Drive   66109,,,SE Washington Street   66607,"George Washington Drive, South   67218"
Vermont Avenue   66101,,,SE Waters Edge Lane   66605,"Georgetown Street, South   67218"
Vermont Avenue   66102,,,SE Wear Avenue   66607,Georgia Street   67215
